text;catgy
MENTION SMILEY;4
MENTION bueno saberlo;4
MENTION pues , arrechese amigo . colombiano lo.anuncio;1
MENTION siempre , primero aliados , ultimo venezuela .;1
MENTION si oponerse ! no aceptar bofetada HASHTAG , enviamos . punto .;1
MENTION NUMBER . momentos ? podemos enviar ? momentos ser parcos ecuanimes . magnitud desastre;2
MENTION chevere ! aplausos . abrazos libertarios;1
MENTION ve ejemplo . hace incendiaron muchas hectareas sierra perija no habian equipos apagar incendio;2
MENTION bomberos trabajaron unas deshidratados . regimenno envio ayuda .;2
MENTION acaso mentira ? ahi estan pruebas . no q vivamos paraiso negar mejoria ?;2
MENTION respeto puedes ir verga , momento ayudar no sacar pecho cae verga presidente .;1
MENTION mal , no , valemos verga x culpa correa . correa asesino causaste terremoto ... feliz;1
MENTION andate verga correa mano;1
MENTION trata ser feliz . si q puedes;1
aeropuerto manta torre control colapso , operador gravemente herido HASHTAG URL;2
MENTION cosa mas terrible toco vivir ayer . dios permita salgamos pronto;4
MENTION hermano vivi anoche village junto familia no deseo nadie ...;4
MENTION toco vivir super heavy misa . pedirle esposa salga ver padre ...;4
"MENTION ( cont ) ... confesando , hombre mayor recuperandose cancer . dije : "" padre irnos ! "" cogi ...";4
"MENTION ( cont 2 ) mano , dijo paz : "" tranquilo confiemos dios "" . no pensaba abandonarlo quede rezando . .";4
MENTION ( cont 3 ) ... mientras oscuro seguia moviendose . fe hombre conmovio . quede ..;4
MENTION ( cont 4 ) termino . ahi sali ver esposa . gente llorando rezando;4
MENTION q historia hermano , fe dios tambien hizo tomar calma evacuacion village ... esperemos no mas victimas;4
MENTION amen brother .. mando fuerte abrazo !;4
MENTION buenos dias guapos , recomienden cuenta HASHTAG URL;1
MENTION;1
MENTION;1
MENTION hehe !;1
MENTION espero recomiendes;1
MENTION supuesto;1
MENTION si siguen tambien , feo ?;1
MENTION seguimos dedicamos mananero hoy ... HASHTAG URL;1
MENTION gracias igualmente encanta [ ? ];1
MENTION rico !;1
mayoria gente hoy estara casa . tocara trabajar consecuencia terremoto .;2
MENTION iguales SMILEY;2
MENTION cnt SMILEY oficinas , llevo ano;3
MENTION chevere daniel ! abrazo;3
chilena terrible vivir terremoto .. espero salgan fuerzas , saldran HASHTAG;2,4
MENTION   minimo puedo hacer distancia dar fuerzas   espero estes bien familia;3,4
MENTION gracias dios salvo , todavia miedo pavor pase   muchas gracias gracias;4
MENTION entiendo bastante , vivido dos , creo sentirme inmune miedo ? jaja humor ' tranquila pasara .;4
MENTION jaja v ' : bueno saber controlarlo SMILEY no , gracias esperamos;4
primeras imagenes devastador terremoto ecuador videos : URL;2
MENTION ademas uss sabia q caza no tenia armamento esi no derribado;2
MENTION caza no tenia armamento ... terror ! saludar ?;2
MENTION campo militar provocar;2
MENTION si , mas provocar ofensivo atrevimiento matones rodeen casa .;2
MENTION aja rusia q defiende tirano d corea norte;2
MENTION vas tangente , ee uu masacro mujeres ninos inocentes irak , libia , etc , etc , codicia criminal .;2
MENTION rusia afganistan , chechenia georgia ?;2
MENTION mientras china tomo timon economia mundo , india copiloto , quedan , ee uu , pais mas endeudado china .;2
MENTION claro china q lr paso tanques militares poblacion plaza tianamen;2
MENTION proxima nagasaki hirochima ee uu , espera no asi . ?;2
MENTION siempre tangente , propongo pongas algun tema interesante , no vacuo , si ?;1,2
programa van entrevistar cristina parece joda : menos ritmo caracol dos entrevistadores llegan tarde .;2
columnista contara < biografia beatles > . ! novedoso !;2
ahora , juanse , ratones paranoicos , contando eSMILEYeriencia religiosa .;2
conductor anuncia : < llegado quinto stone : artemio lopez > .;2
programa llama nomas , cancion palito ortega . ahora , no preguntes mierda significa no .;1,2
adivinen : ! no entrevista vivo ! grabada !;1,3
! saludo grabado radio !;3
! ahora hablando artemio lopez !;3
"MENTION escuche dio NUMBER horas ahora promocionan "" saludo "" . bueno .";3
MENTION despues saludito , let it be , beatles .;3
MENTION contactos necesarios - dinero - pagar aire radio . si , no .;3
MENTION mentirosos mierda .;1,3
MENTION diferencia hacer periodismo buscar fieles . programa acolitos anoranza .;3
MENTION ejes twitter ? jaj;3
MENTION catarsis boludo dijeron entrevistaban cristina escuchar saludito grabado radio .;1,3
MENTION proxima mensajeame contaba venia mano;1,3
MENTION mentirosos mierda . no pueden vender saludo grabado entrevista tres horas . ! entrevista privada ! picaros .;1,3
MENTION no escuche programa ver vendieron . durmiendo empezaron llamar preguntarme onda;3
venezuela enviara ecuador avion ayuda tras terremoto URL HASHTAG URL;2
MENTION bueno , saca desgobierno si pueblo pasando hambre penurias ?;4
MENTION esperen pueblo arreche . van pedir rodoillas perdon chavez tanta maldad casi van querer resusite;1
MENTION NUMBERro no grites ( escribir mayuscula ) NUMBERdo unico q arrodillo dios ! ah ! NUMBERro . chiaves ta'podrio !;1,3
MENTION podrido van quedar !;1
MENTION ujummm busquen oficio ! si sabe hacer !;1
bueno paso tema , voy meterme fuente , necesito limpiarme cuerpo machismo .;1,3
MENTION recuerda frotarte fuerte .;1
MENTION;1
MENTION mal sonado;1
MENTION rttnpig;1
MENTION ouuu saludale partes !;1
MENTION haahahha;1
MENTION babe recien veo temblor ?;2
MENTION bien ciudad no sintio casi horrible;2
MENTION ay beba alegro estes bien mira si pasaba iba hacer d: :;1,4
MENTION gracias preocuparte babe onda sola casi desmayo;1,3,4
MENTION hacias sola daniela mal ah hermanos ?;1
MENTION papas estan viaje hermano hermana no grites ah;3
MENTION ah noo abandonan asi estan bien ? ah enserio dio mini infarto vi temblor d:;1,3
MENTION asocial quise quedar sola bad idea estan bien;3
MENTION bueno bien entonces;3
MENTION amyyy recien veo temblor ? btw rompio telefono rt si yorastes;2
MENTION lia caes mal demasiado horrible asuste despidiendo sjdjf;1,3,4
MENTION obvio primera persona piensas morir ah;1,3
MENTION si sintio demasiado horrible bueno ciudad no tan afectada partes si;3
MENTION dejo funcionar rt si yorastes;3
MENTION no ciudas;3
MENTION dd : noo miedo seguro lloraste nena NUMBER siempre;3
MENTION van comprar ?;3
MENTION querias haga ponga reir ? ahre paso medio terremoto luz parecia peli terror;3
MENTION mm creo no SMILEY;3
MENTION sabes papa dijo va comprar telefono nuevo cumpla NUMBER rt si yorastes;3
MENTION calmate aqui manana dan;3
MENTION dejaban celular NUMBER anos;3
MENTION grave manabi esmeraldas . edificios colapsaron muertos . resto solo susto;2
MENTION uta igual caleta caso rt siempre sido colorieeento;1
MENTION cada vida humana importante ... menos vieja;1,4
MENTION;1
MENTION jajajajaja;1
MENTION wait , parece no exageracion URL :/;1
MENTION;3
MENTION fuck !;3
ver ocurrido pais terremoto duro serio :'( HASHTAG y.fue fea eSMILEYeriencia;2
MENTION peor eSMILEYeriencia vida ver cosas aca casa caian mientras temblaba tierra;2,4
MENTION aca caido foto casi cae cuadro , puto miedo babe SMILEY;1,3
MENTION penoso pasa , saldremos lugar;4
MENTION ley , saldra :'(;4
MENTION claro si , hechandole ganas positivismo nueva oportunidad vida bridado arriba;4
MENTION agradecerle serio al.de arriba ! ta horrible;4
MENTION claro si;4
graficazos vida real .;1
MENTION ojala pudiera verte realidad comprobar si tambien buenos graficos no das bola . no conocere .;1
MENTION peor vida real , creeme : v;1
MENTION URL;1
MENTION puse foto salio super mono asdfghjkl URL;1
MENTION jajajaja guapo;1
MENTION;1
MENTION ganas revolearte si sos hermoso voy agarrar voy desfigurar cara golpes ahi si vas ver;1
MENTION basta tente re fuerte agresividad florcita;1
MENTION mira pavadas dice listo canse;1
MENTION entendi truco decis significa contrario tambien quiero jugar sos horrible no comes machomen;1
MENTION rei basta;1
MENTION jsjsjs;1
MENTION mas guapo tetas .;1
MENTION ( deg [ ? ] ? deg ) ( deg [ ? ] ? deg ) ( deg [ ? ] ? deg ) ( deg [ ? ] ? deg ) ( deg [ ? ] ? deg ) ( deg [ ? ] ? deg );1
MENTION;1
MENTION rubia puedes contestar algun dia ami ?;1
MENTION claro , saludo : * jajajajajaja;1
MENTION jjaja;1
MENTION quiero;1
MENTION SMILEY;1
MENTION boca quierah jajaja mitiam decides;1
holaaa ! acabo enterar ecuador mucha fuerza !;4
MENTION gracias ecuador SMILEY;4
MENTION gracias dani fuerte !;4
MENTION k pasa k dizes si sabes k no va responder;3
MENTION sabe;3,4
MENTION no ? culo;1,3
MENTION jjajajajjajaja ok;1
si no confiaba militares ahora menos , recien iendo bonitos mas NUMBER horas despues;2
MENTION no digas , bien paso terremoto , reclutaron , mandaron diferentes lugares no estan familias dsd entonces;2
MENTION pedernales cojimies no llegaron toda noch alla tv no estan flias talvez estan muertos siento;2
MENTION creo q no suficientes , no general seguimos preparados cosas , desorganizacion .;2
MENTION totalmente d acuerdo indigna , mas aun q sigan pasando horas ver mas dramas aun no saber q pasa sectores;2
MENTION militares hacen q pueden q dan , deben subirse obligados helicopteros aviones no tan confiables .;2
uruguay : tornado ecuador : terremoto mexico : volcan chile : URL;2
MENTION vas hacer odiar mas chilenos !;1
MENTION naaa;1
MENTION llegaste limite ? no mas posibilidad aumentar odio ?;1
MENTION humor;1
MENTION seee;1
MENTION jajaja ecuador temblo estan pasando noticias puentes casas danadas;2
MENTION ries miedo tristeza pasamos ? , no da risa si vieras cantidad muertos;2,4
MENTION ja web ecuador invecil;1
MENTION osea ecuador da derecho reirte situacion ? nota hace falta cerebro;1
MENTION jajaj datos nino;1
MENTION vaya pedazo mierda pario puta madre jaja;1
MENTION ?;1
terremoto ecuador , tornado uruguay . naturaleza enojada . URL;2
MENTION demasiada biblia nina . naturaleza importamos higo;4
MENTION no ver biblia ... enojada toda razon .;4
MENTION dios naturaleza . insisto . naturaleza no castiga , odia . indiferentes;4
MENTION sigo acuerdo . no hablo ser superior . terminos , calentamiento global .;4
MENTION antropomorfizando . naturaleza no sentimientos . no importamos . no castiga enojamos;2
HASHTAG , conoce puntos donaciones nivel nacional : URL HASHTAG URL;2
MENTION mejor presidente venda NUMBER aviones . arregla billete no colectas publicas;1,2
MENTION tragedias arrepientes burlas pena sra ...;1
MENTION reclamale lasso nebot defiendes traigan dinero llevaron paraisos fiscales .;4
MENTION dichonq defiendo acompmejado;1
MENTION mejor ora dios ayude calmar amargura .. dios bendiga ...;1,4
MENTION pobre infeliz no digas q no sientes . preocupate vida q hago mia .;1
MENTION daves no ayudando ? gustaron medidas presi ayer ? mejor comentario inicial;1
duro no salido semana cap sakamoto desu ga ... aun creo terremoto , asiq cona quejo vamos;2
MENTION casa no visto aun . infierno;2
MENTION jueves .. mono . sobretodo kabaneri;1
MENTION pues capitulazo veras SMILEY q temporada animes gustara no ? comparada;1
MENTION anterior mierda . va ser mejor;1
MENTION compararla ninguna q opinas SMILEY;1
MENTION creo no va haber series realmente destacables . ahora creo sera peores anos;3
MENTION aunque ano termina ft sera recordado porbsiempre;3
increible ! don horst dice q inundaciones producto naturaleza piensa abrir mall NUMBER no importan trabajadores;2
MENTION horrible locatarios intentando abrir lax tiendas;1
MENTION debiesen cerrar locales no eSMILEYnerse;3
MENTION poder dinero mas importante deben sacando cuentas cuanto dinero pierden hoy no interesa gente;3
MENTION apuesto estan calculadora mano;3
MENTION obvio poderoso sr dinero;1,3
MENTION codiciosos inescrupulosos no faltan;1
terremoto no chile URL;2
MENTION;3
MENTION i don't get the joke;3
MENTION pena;3
MENTION respeta;3
MENTION;3
MENTION si ustedes no respeto ? respetaremos ustedes ?;3
MENTION riendo pais try again;3
notificaciones ayer popayan temblor queda demostrado facebook no saben manejar , solo moda .;2
MENTION facebook d MENTION si muchas personas preocupadas . burlas realizadas ojala no lloren luego ...;2
MENTION popayan no habia necesidad usar herramienta , saber usar bien tecnologia no entrar modas;2
MENTION modas tambien bromas acerca grave doloroso ocurrio ecu q sintio fuerte aca;1,2
MENTION final si , caso deberia mostrar minimo respeto victimas dolor demas .;4
MENTION claro , segun burlan , NUMBER afectados MENTION no pueden poner estan bien facebook .;1
video centro comercial pleno temblor . ve gente huyendo x escaleras .. ve cuantos esperando ascensor ! . viva pais;2
MENTION no des intelectual momento mmv;1
MENTION dejen pelear caritas vayan donar viveres cuerpo bomberos mas cercano .;1
MENTION plena ! amiga ? milagro quedado ?;1
MENTION solo susto gracias dios , ahora preocupacion comunicarnos familia manabi .;4
amigos puedan apoyar mapeo zonas afectadas terremoto : organizando hacerlo mejor manera .;2
actualizacion HASHTAG : coordinado prioridades mapeo org gobierno . recopilando info comenzar .;2
MENTION , ponemos servicio publico portal publicacion sig . podemos incluir web services digitalglobe;2
MENTION link ? servicio wms importar josm ?;2
MENTION coordinemos hagan llegar data publicamos . luego podemos compartir wms problema;2
MENTION podrias ponerlo tms ? facilita edicion;2
MENTION viendo compartir ustedes acceso , web services digitalglobe necesitan tokens;2
MENTION excelente . coordinando telegram : URL;2
extrana luz cielo aparecio terremoto ecuador URL;2
"no mientan luz dedpues "" MENTION : extrana luz cielo aparecio terremoto URL """;2
MENTION sismo tambien terreno grande veia reflejos tono verde / azul pense transformadores;2
MENTION fredy verdad ? no pongo duda q dices mas erupciones terremotos ven luces cosas raras;2
MENTION asumo ser arco electrico producido lineas electricas;2
MENTION muchas eSMILEYlicaciones , ovnis reflejos atmosfericos radiacion emitida liberacion .. 1/2;2
MENTION energia dos capas tectonicas ojo humano no ve existe segun pruebas cientificas , puede ser .;2
migracion sismica hace cierta , luego terremoto japon tenia venir rebote chile , peru ecuador , dentro NUMBERh mayor grado;2
MENTION heavy;1
MENTION teoria aroldo hace cada vez mas cierta , ojo pase mexico usa;2
MENTION ahora , habria ver registros atras . si coincidencias empezaron;2
MENTION si terremoto san francisco golpeo meses despues chile valparaiso , NUMBER . abril agosto;2
MENTION toda razon ! ahora , tiempo transcurrido mas demorado ahora;2
... seguridad publica controlada . albergues preparandose . pais movilizado . gracias mundo entero solidaridad .;2
MENTION pte . queremos hacer trabajo voluntario viajar requiera . entidades socorro indiquen rt;2
MENTION URL;2
MENTION sabes cargo iniciativa ? vi formulario no entidad persona cargo;2
MENTION verdad no , llego whatsapp;3
MENTION muchas gracias . igual voy averiguar;3
MENTION !;3
MENTION si saben avisenme tambien favor;3
MENTION espero sirva URL;3
gracias MENTION HASHTAG necesitamos transporte voluntarios vamos HASHTAG cantones;2
MENTION exactamente quito;2
MENTION si quieres sumarte voluntarios HASHTAG favor agrega whatsapp sebas mena MENTION NUMBER;3
MENTION gaby si sabes aqui voluntario mas igualmente si aviso;2
MENTION gracias gaby contactando;3
verdad MENTION anda serena po dicho hecho vino temblo;1
MENTION imaginate ft MENTION dejamos pura zorra aca;1
MENTION llegue lluvia temblo ajjajaja cusndo elqui;1
MENTION saale jajajajaja puta weon;1
MENTION centro pillo lluvia elqui pillo temblor super yeta;1
MENTION lluvia aqui no , ano no llovido corresponde unas nubes weonas pasan;1
MENTION no , pato , yeta verdadero , desafia naturaleza deberia irse magallanes;1
MENTION ayer , mojaron tarde;1
MENTION jajajaja toda vida viviendo aca nunca paso conoci vinieron SMILEY;1
MENTION jjajaj llovizna po ningun momento llovio , parte serena estay ?;1
MENTION URL;1
